Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,11,1000011,10000.0,2025-07-07,1
2,17,1000017,10000.0,2025-11-21,1
3,68,1000068,10000.0,2025-04-07,1
4,73,1000073,10000.0,2025-01-27,1
5,89,1000089,10000.0,2025-05-28,1
6,90,1000090,10000.0,2025-10-14,1
7,104,1000104,10000.0,2025-06-14,1
8,110,1000110,10000.0,2025-10-21,1
9,146,1000146,10000.0,2025-05-28,1
10,149,1000149,10000.0,2025-04-21,1
11,246,1000246,10000.0,2025-01-20,1
12,278,1000278,10000.0,2025-09-07,1
13,294,1000294,10000.0,2025-11-21,1
14,296,1000296,10000.0,2025-03-21,1
15,310,1000310,10000.0,2025-07-28,1
16,339,1000339,10000.0,2025-02-27,1
17,361,1000361,10000.0,2025-09-28,1
18,367,1000367,10000.0,2025-06-21,1
19,370,1000370,10000.0,2025-08-21,1
20,418,1000418,10000.0,2025-02-20,1
21,450,1000450,10000.0,2025-05-21,1
22,455,1000455,10000.0,2025-01-06,1
23,463,1000463,10000.0,2025-06-14,1
24,470,1000470,10000.0,2025-11-28,1
25,496,1000496,10000.0,2025-02-20,1
26,511,1000511,10000.0,2025-06-07,1
27,525,1000525,10000.0,2025-02-06,1
28,558,1000558,10000.0,2025-02-20,1
29,581,1000581,10000.0,2025-01-06,1
30,652,1000652,10000.0,2025-03-14,1
31,654,1000654,10000.0,2025-08-21,1
32,681,1000681,10000.0,2025-06-14,1
33,715,1000715,10000.0,2025-02-06,1
34,728,1000728,10000.0,2025-06-07,1
35,806,1000806,10000.0,2025-10-21,1
36,847,1000847,10000.0,2025-09-07,1
37,871,1000871,10000.0,2025-09-28,1
38,881,1000881,10000.0,2025-06-14,1
39,891,1000891,10000.0,2025-12-07,1
40,896,1000896,10000.0,2025-01-13,1
41,910,1000910,10000.0,2025-05-21,1
42,912,1000912,10000.0,2025-05-28,1
43,937,1000937,10000.0,2025-04-14,1
44,948,1000948,10000.0,2025-12-14,1
45,958,1000958,10000.0,2025-05-14,1
46,992,1000992,10000.0,2025-06-28,1
47,996,1000996,10000.0,2025-03-14,1
48,1005,1001005,10000.0,2025-11-28,1
49,1026,1001026,10000.0,2025-12-28,1
50,1042,1001042,10000.0,2025-03-21,1
51,1074,1001074,10000.0,2025-05-07,1
52,1104,1001104,10000.0,2025-09-07,1
53,1106,1001106,10000.0,2025-01-20,1
54,1158,1001158,10000.0,2025-04-14,1
55,1176,1001176,10000.0,2025-01-27,1
56,1196,1001196,10000.0,2025-05-28,1
57,1259,1001259,10000.0,2025-07-28,1
58,1354,1001354,10000.0,2025-11-07,1
59,1387,1001387,10000.0,2025-03-21,1
60,1397,1001397,10000.0,2025-02-13,1
61,1413,1001413,10000.0,2025-12-21,1
62,1423,1001423,10000.0,2025-08-07,1
63,1457,1001457,10000.0,2025-03-07,1
64,1467,1001467,10000.0,2025-06-07,1
65,1532,1001532,10000.0,2025-02-27,1
66,1553,1001553,10000.0,2025-12-28,1
67,1557,1001557,10000.0,2025-08-14,1
68,1574,1001574,10000.0,2025-01-27,1
69,1593,1001593,10000.0,2025-03-28,1
70,1597,1001597,10000.0,2025-06-07,1
71,1624,1001624,10000.0,2025-11-14,1
72,1626,1001626,10000.0,2025-08-21,1
73,1627,1001627,10000.0,2025-08-14,1
74,1644,1001644,10000.0,2025-08-14,1
75,1645,1001645,10000.0,2025-11-07,1
76,1688,1001688,10000.0,2025-09-14,1
77,1749,1001749,10000.0,2025-10-28,1
78,1752,1001752,10000.0,2025-12-14,1
79,1772,1001772,10000.0,2025-07-07,1
80,1784,1001784,10000.0,2025-07-21,1
81,1796,1001796,10000.0,2025-08-07,1
82,1826,1001826,10000.0,2025-10-07,1
83,1849,1001849,10000.0,2025-12-21,1
84,1854,1001854,10000.0,2025-10-14,1
85,1943,1001943,10000.0,2025-05-21,1
86,1972,1001972,10000.0,2025-09-28,1
87,1973,1001973,10000.0,2025-05-14,1
88,1985,1001985,10000.0,2025-06-07,1
89,1991,1001991,10000.0,2025-08-14,1
90,2002,1002002,10000.0,2025-03-21,1
91,2007,1002007,10000.0,2025-07-14,1
92,2033,1002033,10000.0,2025-07-21,1
93,2072,1002072,10000.0,2025-01-13,1
